main verb - infinito senza to;separabile- se segnato vuol dire si;prep_1;prep_2
strap;x;down;
strap;x;in;
strap;x;up;
stress;x;out;
stretch;x;out;
stretch;x;upon;
strike;x;down;
strike;x;off;
strike;x;out;
string;x;along;
string;x;out;
strip;x;down;
strip;x;off;
strip;x;out;
study;x;over;
stuff;x;up;
submit;x;along;
submit;x;up;
suck;x;down;
suck;x;in;
suck;x;off;
suck;x;out;
suck;x;up;
suffer;x;out;
suit;x;down;
sum;x;up;
summarise;x;up;
sun;x;up;
support;x;in;
support;x;up;
survey;x;on;
survive;x;over;
suss;x;out;
swallow;x;down;
swallow;x;up;
swap;x;out;
sweat;x;out;
sweep;x;along;
sweep;x;away;
sweep;x;down;
sweep;x;off;
sweep;x;on;
sweep;x;out;
sweep;x;up;
swim;x;up;
swindle;x;out;
swing;x;around;
swing;x;in;
swing;x;off;
swing;x;out;
swing;x;over;
swing;x;up;
swipe;x;off;
swirl;x;around;
switch;x;around;
switch;x;off;
switch;x;on;
tag;x;over;
tail;x;out;
take;x;across;
take;x;along;
take;x;apart;
take;x;around;
take;x;aside;
take;x;away;
take;x;down;
take;x;in;
take;x;off;
take;x;on;
take;x;out;
take;x;over;
take;x;through;
take;x;up;
taketh;x;up;
talk;x;away;
talk;x;down;
talk;x;in;
talk;x;out;
talk;x;over;
talk;x;through;
talk;x;up;
tanking;x;down;
tap;x;in;
tap;x;out;
tape;x;off;
tar;x;up;
task;x;along;
taste;x;along;
teach;x;up;
team;x;up;
tear;x;apart;
tear;x;away;
tear;x;down;
tear;x;off;
tear;x;out;
tear;x;up;
tease;x;away;
tease;x;out;
tee;x;up;
telephone;x;on;
tell;x;down;
tell;x;in;
tell;x;off;
tell;x;out;
tell;x;over;
tell;x;up;
tempt;x;in;
tempt;x;out;
test;x;on;
test;x;out;
thank;x;over;
thaw;x;out;
thicken;x;up;
thin;x;out;
think;x;out;
think;x;over;
think;x;through;
think;x;up;
thrash;x;around;
thrash;x;down;
thrash;x;out;
thread;x;on;
throw;x;around;
throw;x;aside;
throw;x;away;
throw;x;down;
throw;x;in;
throw;x;off;
throw;x;on;
throw;x;out;
throw;x;over;
throw;x;up;
thrust;x;aside;
thrust;x;out;
thrust;x;up;
thunder;x;around;
tick;x;off;
tickle;x;out;
tide;x;over;
tide;x;through;
tidy;x;away;
tidy;x;up;
tie;x;down;
tie;x;on;
tie;x;up;
tilt;x;away;
tilt;x;up;
time;x;in;
tingle;x;over;
tip;x;down;
tip;x;off;
tip;x;out;
tip;x;over;
tip;x;up;
tire;x;out;
toggle;x;on;
tone;x;down;
tone;x;up;
tooke;x;away;
top;x;off;
top;x;out;
top;x;up;
topple;x;out;
torture;x;over;
toss;x;around;
toss;x;aside;
toss;x;down;
toss;x;off;
toss;x;out;
toss;x;up;
tot;x;up;
total;x;up;
touch;x;out;
touch;x;up;
tough;x;out;
toughen;x;up;
tow;x;out;
tow;x;up;
towel;x;down;
trace;x;through;
track;x;down;
trade;x;away;
trade;x;in;
trade;x;off;
trade;x;out;
train;x;out;
train;x;up;
trample;x;down;
transfer;x;over;
translate;x;out;
translocate;x;away;
transmit;x;through;
transmit;x;up;
transport;x;away;
tread;x;down;
trigger;x;off;
trim;x;down;
trim;x;in;
trim;x;off;
trim;x;out;
trip;x;out;
trip;x;over;
trip;x;up;
trot;x;out;
truss;x;up;
try;x;on;
try;x;out;
try;x;over;
tuck;x;along;
tuck;x;away;
tuck;x;in;
tuck;x;up;
tug;x;away;
tug;x;down;
tug;x;off;
tune;x;out;
tune;x;up;
turf;x;out;
turn;x;around;
turn;x;aside;
turn;x;away;
turn;x;down;
turn;x;in;
turn;x;off;
turn;x;on;
turn;x;out;
turn;x;over;
turn;x;up;
turning;x;aside;
twist;x;around;
twist;x;out;
type;x;in;
type;x;out;
type;x;up;
unleash;x;on;
update;x;on;
urge;x;along;
urge;x;on;
urge;x;out;
use;x;on;
use;x;out;
use;x;over;
use;x;through;
use;x;up;
usher;x;away;
usher;x;in;
usher;x;on;
usher;x;out;
validate;x;on;
vector;x;around;
view;x;on;
visit;x;up;
vote;x;in;
vote;x;off;
vote;x;out;
vote;x;through;
wait;x;out;
wake;x;up;
waken;x;up;
walk;x;down;
walk;x;off;
walk;x;over;
walk;x;through;
walk;x;up;
want;x;around;
want;x;down;
want;x;in;
want;x;off;
want;x;on;
want;x;out;
want;x;over;
ward;x;off;
warm;x;over;
warm;x;through;
warm;x;up;
warn;x;away;
warn;x;off;
wash;x;away;
wash;x;down;
wash;x;off;
wash;x;out;
wash;x;up;
watch;x;in;
watch;x;out;
watch;x;over;
water;x;down;
wave;x;aside;
wave;x;away;
wave;x;in;
wave;x;off;
wave;x;out;
wave;x;through;
wean;x;off;
wear;x;down;
wear;x;off;
wear;x;out;
wedge;x;down;
wedge;x;up;
weed;x;out;
weigh;x;down;
weigh;x;up;
weight;x;down;
welcome;x;over;
whack;x;out;
wheedle;x;out;
wheel;x;out;
whip;x;apart;
whip;x;away;
whip;x;down;
whip;x;in;
whip;x;off;
whip;x;out;
whirl;x;around;
whirl;x;down;
whirl;x;up;
whisk;x;away;
whisk;x;down;
whisk;x;off;
whisk;x;out;
whisk;x;over;
whittle;x;away;
whittle;x;down;
whizz;x;off;
whizz;x;up;
whoop;x;up;
whore;x;out;
whore;x;up;
will;x;in;
will;x;on;
win;x;away;
win;x;out;
win;x;over;
winch;x;away;
winch;x;out;
wind;x;down;
wind;x;up;
wipe;x;away;
wipe;x;down;
wipe;x;off;
wipe;x;out;
wipe;x;up;
wire;x;up;
wish;x;away;
wish;x;out;
wolf;x;down;
woo;x;away;
work;x;away;
work;x;in;
work;x;out;
work;x;over;
work;x;through;
work;x;up;
wound;x;up;
wrap;x;around;
wrap;x;in;
wrap;x;up;
wrench;x;out;
wring;x;out;
write;x;down;
write;x;off;
write;x;out;
write;x;up;
yank;x;down;
yank;x;off;
yank;x;out;
yank;x;over;
yap;x;up;
yield;x;up;
zing;x;around;
zip;x;out;
zip;x;up;
working;;out;
hung;;up;
setting;;up;
come;;down;
look;;up;
keeping;;up;
coming;;out;
grow;;out;
sold;;down;
stressed;;out;
throwing;;away;
advise;;on;
fall;;off;
giving;;up;
look;;out;
put;;away;
sell;;out;
sending;;out;
summed;;up;
well;;up;
abbing;;down;
abbing;;off;
abduct;;off;
abide;;out;
abscond;;over;
abseil;;down;
abseil;;off;
abseil;;out;
abseil;;through;
absorb;;up;
abstract;;away;
abstract;;out;
abstract;;over;
abuse;;down;
accelerate;;away;
accelerate;;down;
accelerate;;off;
accelerate;;on;
accelerate;;out;
accelerate;;up;
accept;;on;
accept;;through;
accept;;up;
access;;along;
access;;off;
access;;out;
access;;over;
access;;through;
access;;up;
accession;;up;
accommodate;;up;
accomodate;;up;
accomodates;;up;
accomodating;;up;
accord;;unto;
accredit;;through;
accrue;;around;
accrue;;down;
accumulate;;up;
accuse;;out;
achieve;;across;
achieve;;out;
achieve;;over;
achieve;;through;
achieve;;up;
act;;around;
act;;off;
act;;on;
act;;out;
act;;up;
act;;upon;
acting;;up;
action;;over;
activate;;open;
adapt;;around;
adapt;;over;
add;;along;
add;;around;
add;;in;
add;;off;
add;;on;
add;;unto;
add;;up;
adding;;up;
address;;along;
address;;down;
address;;off;
address;;on;
address;;up;
adjudicate;;on;
adjudicate;;upon;
adjust;;down;
adjust;;out;
adjust;;up;
admit;;on;
admit;;through;
admit;;up;
adopt;;in;
adopt;;on;
adopt;;out;
advance;;down;
advance;;out;
advance;;through;
advance;;unto;
advance;;up;
advertise;;along;
advertise;;in;
advertise;;on;
advise;;out;
advise;;up;
advise;;upon;
affect;;along;
affect;;out;
affect;;up;
affirm;;over;
afflict;;on;
age;;over;
age;;up;
aggregate;;up;
agonise;;over;
agree;;on;
agree;;unto;
agree;;up;
agree;;upon;
aid;;out;
aim;;off;
aim;;up;
air;;down;
air;;out;
airbrush;;out;
air-brushed;;out;
airlift;;off;
airlift;;out;
alarm;;off;
alert;;across;
alert;;off;
alert;;on;
align;;up;
allocate;;over;
allocate;;up;
allot;;up;
allow;;in;
allow;;off;
allow;;out;
allow;;through;
allow;;unto;
allow;;up;
allowances.unqualified;;up;
alone--terrified;;out;
alter;;out;
alter;;up;
alternate;;down;
amble;;across;
amble;;along;
amble;;around;
amble;;down;
amble;;off;
amble;;up;
amend;;out;
amount;;up;
building;;up;
amurny;;away;
analyse;;out;
analyze;;along;
analyze;;out;
anchor;;off;
anchor;;out;
angeles;;over;
angle;;around;
angle;;out;
angle;;up;
animate;;over;
annotate;;over;
announce;;in;
announce;;up;
annoy;;down;
answer;;out;
answerphone;;out;
anticipate;;up;
appeal;;out;
appear;;along;
appear;;around;
appear;;down;
appear;;in;
appear;;off;
appear;;on;
appear;;out;
appear;;over;
appear;;unto;
appear;;up;
appertain;;unto;
applaud;;off;
applique;;across;
apply;;around;
apply;;out;
apply;;through;
apply;;up;
appoint;;along;
appoint;;out;
appoint;;up;
apportion;;out;
appreciate;;along;
appreciate;;off;
appreciate;;out;
approach;;down;
approach;;on;
appropriate;;out;
approve;;up;
apps;;out;
arbitrate;;over;
arc;;around;
arc;;out;
arc;;over;
arc;;up;
archive;;off;
archive;;out;
are;;down;
aren't;;out;
argue;;around;
argue;;away;
argue;;out;
argue;;over;
argueing;;over;
arise;;around;
arise;;out;
arise;;over;
arise;;through;
arise;;unto;
arise;;up;
arise.;;along;
arm;;around;
arrange;;along;
arrange;;around;
array;;down;
array;;up;
arrest;;along;
arrest;;down;
arrest;;over;
arrive;;along;
arrive;;down;
arrive;;in;
arrive;;off;
arrive;;on;
arrive;;out;
arrive;;over;
arrive;;through;
arrive;;up;
arrive;;upon;
arsed;;up;
arsing;;around;
ascend;;up;
ask;;around;
ask;;down;
ask;;on;
ask;;out;
ask;;up;
assemble;;along;
assemble;;out;
assent;;unto;
assess;;along;
assess;;out;
assess;;over;
assess;;up;
assess;;upon;
assign;;unto;
assist;;in;
assist;;off;
assist;;on;
assist;;over;
assist;;through;
assist;;up;
assume;;away;
astonish;;out;
attach;;along;
attach;;unto;
attach;;up;
attack;;down;
attack;;off;
attain;;through;
attain;;unto;
attain;;up;
attend;;along;
attend;;away;
attend;;out;
attend;;over;
attend;;up;
attract;;around;
attract;;down;
attract;;off;
attract;;over;
attract;;up;
attribute;;on;
attribute;;out;
auction;;off;
authorise;;along;
automodes;;down;
automoding;;down;
average;;across;
average;;around;
average;;down;
average;;out;
average;;over;
average;;up;
avoid;;down;
avoid;;out;
await;;along;
awake;;out;
awake;;up;
awaken;;up;
award;;around;
award;;out;
award;;up;
axe;;up;
b]growing;;up;
babble;;on;
back;;away;
back;;down;
back;;off;
back;;on;
back;;out;
back;;over;
back;;up;
backing;;up;
back-pumped;;up;
backtrack;;off;
badged;;up;
badger;;along;
baffle;;out;
bag;;up;
baggied;;up;
bail;;out;
baissed;;up;
bait;;out;
bait;;up;
bake;;through;
balance;;in;
balance;;off;
balance;;out;
balance;;up;
bale;;out;
bale;;up;
ball;;up;
balloon;;out;
balloon;;over;
balloon;;up;
ballot;;out;
ban;;along;
ban;;away;
band;;out;
bandage;;up;
bandy;;around;
bang;;around;
bang;;down;
bang;;on;
bang;;out;
bang;;up;
banish;;out;
bank;;on;
bank;;over;
bank;;up;
baptise;;along;
baptize;;out;
baptize;;unto;
bar;;up;
bare;;out;
bargain;;away;
bargain;;on;
bargain;;over;
barge;;over;
bark;;down;
bark;;out;
bark;;up;
barrel;;down;
barrel;;off;
base;;around;
base;;down;
base;;off;
base;;on;
base;;out;
base;;up;
base;;upon;
bash;;around;
bash;;away;
bash;;on;
bash;;out;
bash;;over;
bash;;up;
bat;;aside;
bat;;away;
bat;;on;
bath;;in;
bathe;;around;
bathe;;in;
batten;;down;
batten;;out;
batter;;around;
batter;;away;
batter;;down;
battle;;along;
battle;;on;
battle;;out;
battle;;over;
battle;;through;
battle;;up;
bawl;;out;
bbied;;around;
be;;on;
bead;;around;
beads;;off;
beam;;down;
beam;;out;
beam;;up;
bear;;along;
bear;;around;
bear;;away;
bear;;down;
bear;;in;
bear;;off;
bear;;on;
bear;;out;
bear;;over;
bear;;unto;
bear;;up;
bear;;upon;
bearings;;around;
beat;;around;
beat;;away;
beat;;down;
beat;;off;
beat;;on;
beat;;out;
beat;;up;
beaver;;away;
beckon;;along;
become;;around;
become;;open;
become;;out;
become;;over;
bed;;down;
bed;;up;
beef;;up;
been;;out;
beep;;out;
beetle;;down;
beg;;away;
beg;;off;
beg;;up;
begin;;around;
begin;;in;
begin;;off;
begin;;out;
begin;;up;
begin;;upon;
behave;;around;
belch;;out;
believe;;in;
believe;;out;
believe;;up;
bellow;;down;
bellow;;out;
belong;;unto;
belt;;along;
belt;;around;
belt;;out;
belt;;up;
bend;;around;
bend;;down;
bend;;out;
bend;;over;
bend;;up;
benefit;;around;
benefit;;out;
benefit;;up;
bequeath;;unto;
beset;;up;
bestow;;up;
bestow;;upon;
bet;;on;
bet;;out;
bet;;upon;
better;;off;
bicker;;down;
bicycle;;down;
bid;;down;
bid;;on;
bid;;up;
bigging;;up;
billet;;out;
billow;;out;
billow;;up;
billowed;;out;
bimble;;around;
bind;;down;
bind;;off;
bind;;on;
bind;;out;
bind;;over;
bind;;up;
biodiesel;;out;
birch;;around;
birding;;off;
bit;;up;
bite;;around;
bite;;down;
bite;;off;
bite;;on;
bite;;out;
black;;out;
black;;up;
blanch;;whole;
blank;;off;
blank;;out;
blank;;over;
blanket;;out;
blare;;down;
blare;;out;
blast;;along;
blast;;away;
blast;;down;
blast;;off;
blast;;out;
blast;;over;
blat;;around;
blat;;down;
blattered;;along;
blaze;;along;
blaze;;down;
blaze;;out;
blaze;;over;
blaze;;up;
bleach;;out;
bleed;;along;
bleed;;off;
bleed;;out;
bleed;;through;
bleep;;out;
blend;;in;
blend;;off;
blind;;up;
blinging;;up;
blink;;away;
blink;;on;
blink;;out;
blink;;up;
bliss;;out;
blissing;;out;
blister;;around;
blob;;out;
block;;along;
block;;down;
block;;off;
block;;out;
block;;over;
block;;up;
blog;;out;
blogged;;off;
blogging;;over;
bloody;;over;
blossom;;on;
blossom;;out;
blot;;off;
blot;;out;
blot;;up;
blow;;along;
blow;;around;
blow;;away;
blow;;down;
blow;;in;
blow;;off;
blow;;open;
blow;;out;
blow;;over;
blow;;through;
blow;;up;
blow;;upon;
blow-dry;;out;
blubber;;out;
blunder;;around;
blunder;;out;
blur;;around;
blur;;out;
blur;;over;
blurt;;out;
bluster;;on;
bluster;;out;
bluster;;over;
board;;off;
board;;out;
board;;over;
board;;up;
boaring;;down;
bob;;along;
bob;;around;
bob;;down;
bob;;out;
bob;;up;
bodge;;up;
body-surfed;;over;
boffs;;out;
bog;;down;
bog;;off;
boil;;away;
boil;;down;
boil;;off;
boil;;out;
boil;;over;
boil;;up;
bolster;;up;
bolt;;down;
bolt;;off;
bolt;;out;
bolt;;through;
bolt;;up;
bomb;;around;
bomb;;off;
bomb;;out;
bomb;;up;
bond;;off;
bond;;over;
bone;;out;
boo;;off;
boogie;;down;
book;;along;
book;;in;
book;;off;
book;;out;
book;;over;
book;;through;
book;;up;
boom;;around;
boom;;out;
boom;;up;
boomerang;;in;
boost;;out;
boot;;off;
boot;;out;
boot;;up;
booze;;up;
bop;;over;
bore;;off;
bore;;out;
borrow;;along;
borrow;;out;
borrow;;up;
boss;;around;
boss?broke;;off;
botch;;up;
bottle;;off;
bottle;;out;
bottle;;up;
bottom;;out;
bottom;;up;
bounce;;along;
bounce;;around;
bounce;;down;
bounce;;off;
bounce;;out;
bounce;;over;
bounce;;up;
bound;;around;
bound;;away;
bound;;down;
bound;;off;
bound;;over;
bound;;up;
bow;;down;
bow;;out;
bow;;up;
bowhauled;;up;
bowl;;along;
bowl;;around;
bowl;;down;
bowl;;off;
bowl;;out;
bowl;;over;
bowl;;up;
bowlwed;;out;
box;;around;
box;;up;
coming;;out;
brace;;up;
braid;;through;
brail;;up;
brake;;down;
brake;;off;
brake;;up;
branch;;away;
branch;;off;
branch;;on;
branch;;out;
brand;;through;
brassed;;off;
brave;;out;
braze;;up;
brazen;;out;
break;;apart;
break;;away;
break;;down;
break;;in;
break;;off;
break;;open;
break;;out;
break;;over;
break;;through;
break;;up;
breakbeat;;out;
breake;;up;
breaked;;up;
breaking;;out;
breaking;;up;
break'ing;;out;
breast;;up;
breathe;;along;
breathe;;down;
breathe;;in;
breathe;;off;
breathe;;out;
breathe;;through;
breathe;;upon;
breed;;off;
breed;;out;
breed;;over;
breed;;up;
breeze;;out;
breeze;;through;
breking;;up;
brew;;over;
brew;;up;
brick;;up;
bridge;;along;
bridge;;over;
bridle;;up;
brighen;;up;
brighten;;up;
brim;;over;
brine;;down;
bring;;across;
bring;;along;
bring;;around;
bring;;down;
bring;;in;
bring;;off;
bring;;on;
bring;;out;
bring;;over;
bring;;through;
bring;;unto;
bring;;up;
bring;;upon;
bristle;;up;
broadcast;;over;
broadcast;;up;
broaden;;out;
brocht;;up;
brood;;over;
broughtest;;out;
brown;;off;
brown;;up;
browse;;along;
browse;;around;
browse;;down;
browse;;out;
browse;;through;
bruise;;around;
bruise;;out;
bruise;;up;
brush;;aside;
brush;;away;
brush;;down;
brush;;off;
brush;;out;
brush;;over;
brush;;up;
brushing;;up;
bubble;;around;
bubble;;out;
bubble;;over;
bubble;;up;
buck;;off;
buck;;up;
buckle;;up;
bud;;out;
buddying;;up;
budge;;over;
budge;;up;
buff;;away;
buff;;off;
buff;;over;
buff;;up;
buffer;;off;
buffer;;up;
buffet;;around;
bug;;out;
bugger;;around;
bugger;;off;
bugger;;up;
build;;along;
build;;around;
build;;down;
build;;in;
build;;off;
build;;on;
build;;out;
build;;over;
build;;unto;
build;;up;
build;;upon;
building;;up;
bulge;;up;
bulk;;out;
bulk;;up;
bull;;up;
bully;;off;
bully;;out;
bum;;around;
bumble;;along;
bump;;along;
bump;;around;
bump;;down;
bump;;off;
bump;;out;
bump;;up;
bunch;;around;
bunch;;up;
bundle;;aside;
bundle;;down;
bundle;;off;
bundle;;out;
bundle;;over;
bundle;;up;
bung;;off;
bung;;up;
bungying;;out;
bunk;;down;
bunk;;off;
bunned;;down;
buoy;;along;
buoy;;off;
buoy;;up;
burble;;along;
burble;;around;
burden;;down;
buried;;up;
burn;;along;
burn;;away;
burn;;down;
burn;;in;
burn;;off;
burn;;on;
burn;;out;
burn;;through;
burn;;up;
burning;;out;
burnt;;out;
burrow;;down;
burrow;;in;
burrow;;through;
burst;;along;
burst;;down;
burst;;out;
burst;;through;
bury;;along;
bury;;down;
bury;;in;
bury;;out;
bury;;up;
bush;;out;
bust;;out;
bustle;;around;
bustle;;out;
bustle;;up;
butt;;out;
butt;;up;
butter;;up;
button;;up;
buttress;;around;
buttress;;up;
buy;;around;
buy;;down;
buy;;in;
buy;;off;
buy;;out;
buy;;over;
buy;;through;
buy;;up;
buzz;;around;
buzz;;off;
buzz;;out;
buzz;;up;
by;;up;
caching;;off;
cackle;;out;
cage;;up;
calculate;;upon;
calendar;;over;
calibrate;;out;
calibrate;;up;
caliper;;off;
call;;across;
call;;along;
call;;around;
call;;away;
call;;down;
call;;in;
call;;off;
call;;on;
call;;out;
call;;over;
call;;through;
call;;unto;
call;;up;
call;;upon;
calm;;down;
calm;;over;
calve;;off;
came;;out;
camed;;out;
camp;;down;
camp;;in;
camp;;out;
camp;;over;
camp;;up;
campaign;;around;
campaign;;on;
campaign;;upon;
can?t;;open;
cancel;;around;
cancel;;out;
cancel;;up;
cane;;through;
cannon;;off;
cannot;;open;
canoe;;across;
canoe;;down;
canoe;;off;
canoe;;up;
cant;;out;
canter;;along;
canter;;down;
canter;;out;
canter;;up;
can'tgo;;up;
cantilever;;off;
cantilever;;out;
canvass;;up;
cap;;off;
cap;;over;
capitalise;;on;
capitalise;;out;
capitalise;;upon;
capitalize;;on;
capsize;;off;
captain;;out;
capture;;off;
capture;;on;
capture;;through;
capture;;up;
card;;out;
care;;over;
care;;up;
careen;;off;
career;;around;
career;;down;
career;;off;
career;;out;
carefully-worked;;out;
caress;;away;
caried;;out;
carp;;up;
carred;;up;
carrried;;out;
carry;;across;
carry;;along;
carry;;around;
carry;;away;
carry;;down;
carry;;in;
carry;;off;
carry;;on;
carry;;out;
carry;;over;
carry;;through;
carry;;up;
cart;;around;
cart;;away;
cart;;down;
cart;;off;
carve;;open;
carve;;out;
carve;;up;
cascade;;down;
cascade;;off;
cascade;;out;
cascade;;through;
cash;;in;
cash;;out;
cashmered;;up;
cast;;around;
cast;;aside;
cast;;away;
cast;;down;
cast;;off;
cast;;on;
cast;;open;
cast;;out;
cast;;up;
castigate;;out;
catapult;;out;
catcall;;along;
catch;;along;
catch;;away;
catch;;down;
catch;;in;
catch;;off;
catch;;on;
catch;;out;
catch;;up;
catching;;up;
categorize;;unto;
cater;;along;
cathing;;up;
caugh;;out;
caught;;up;
caumbling;;down;
cause;;up;
cave;;in;
cave;;up;
cavort;;over;
ccame;;out;
cds;;around;
cease;;unto;
cease;;up;
celebrate;;around;
cement;;out;
cement;;over;
cement;;up;
censor;;out;
censure;;in;
center;;around;
centralise;;over;
centre;;around;
centre;;down;
centre;;off;
centre;;on;
centre;;upon;
certify;;unto;
chafe;;out;
chafe;;through;
chaffer;;up;
chain;;down;
chain;;up;
chair;;along;
chair;;around;
chair;;down;
chair;;over;
chalk;;up;
challenge;;around;
challenge;;in;
chamfer;;off;
chance;;upon;
change;;along;
change;;around;
change;;down;
change;;in;
change;;on;
change;;out;
change;;over;
change;;up;
channel;;down;
channel;;off;
channel;;up;
character;;through;
characterise;;on;
charge;;around;
charge;;down;
charge;;in;
charge;;off;
charge;;out;
charge;;over;
charge;;through;
charge;;up;
chart;;out;
chart;;up;
charter;;up;
chase;;along;
chase;;around;
chase;;away;
chase;;down;
chase;;off;
chase;;out;
chase;;up;
chat;;around;
chat;;away;
chat;;in;
chat;;over;
chat;;up;
chauffeur;;out;
chavved;;up;
check;;along;
check;;around;
check;;away;
check;;in;
check;;off;
check;;on;
check;;out;
check;;over;
check;;through;
check;;up;
cheer;;along;
cheer;;out;
cheer;;up;
cheering;;up;
cheese;;off;
chew;;away;
chew;;down;
chew;;off;
chew;;on;
chew;;out;
chew;;over;
chew;;through;
chew;;up;
chickened;;out;
chickening;;out;
childed;;out;
chill;;down;
chill;;out;
chime;;in;
chime;;out;
chime;;through;
chin;;up;
chip;;in;
chip;;off;
chip;;out;
chirp;;over;
chirp;;up;
chisel;;away;
chisel;;down;
chisel;;out;
chisel;;up;
chock;;out;
choke;;down;
choke;;off;
choke;;out;
choke;;up;
choose;;off;
choose;;out;
choose;;up;
choose;;up;
chop;;along;
chop;;down;
chop;;off;
chop;;on;
chop;;out;
chop;;up;
chowing;;down;
chubbed;;out;
chuck;;around;
chuck;;away;
chuck;;off;
chuck;;out;
chuck;;over;
chuck;;up;
chuckle;;out;
chug;;along;
chug;;around;
chug;;down;
chum;;up;
chunter;;on;
churn;;around;
churn;;away;
churn;;down;
churn;;out;
churn;;up;
cinch;;down;
cipher;;down;
circle;;around;
circle;;on;
circle;;over;
circle;;up;
circulate;;around;
clagged;;over;
claim;;off;
claim;;on;
claim;;out;
claim;;over;
claim;;up;
clam;;up;
clamber;;along;
clamber;;down;
clamber;;in;
clamber;;off;
clamber;;out;
clamber;;over;
clamber;;through;
clamber;;up;
clamed;;down;
clamed;;up;
clamp;;down;
clamp;;off;
clamp;;up;
clang;;down;
clank;;along;
clap;;along;
clap;;down;
clap;;out;
clatter;;around;
clatter;;down;
clatter;;out;
clatter;;up;
claw;;away;
claw;;out;
clean;;around;
clean;;away;
clean;;down;
clean;;off;
clean;;out;
clean;;through;
clean;;up;
cleaning;;up;
clear;;across;
clear;;along;
clear;;away;
clear;;down;
clear;;off;
clear;;out;
clear;;up;
clearing;;up;
cleave;;off;
cleave;;unto;
clensed;;out;
click;;away;
click;;down;
click;;in;
click;;off;
click;;on;
click;;open;
click;;out;
click;;over;
click;;through;
click;;up;
click;;upon;
climb;;across;
climb;;around;
climb;;down;
climb;;in;
climb;;off;
climb;;on;
climb;;out;
climb;;over;
climb;;through;
climb;;up;
climb;;upon;
climbing;;up;
climing;;up;
clinbed;;up;
cling;;on;
clip;;along;
clip;;around;
clip;;away;
clip;;off;
clip;;on;
clip;;out;
clip;;over;
clock;;around;
clock;;in;
clock;;off;
clock;;out;
clock;;up;
clockwise;;around;
clog;;up;
clomp;;down;
close;;along;
close;;around;
close;;down;
close;;in;
close;;off;
close;;on;
close;;out;
close;;over;
close;;unto;
close;;up;
clothe;;upon;
cloud;;out;
cloud;;over;
clown;;around;
clown;;up;
club;;out;
clue;;up;
clump;;around;
clutch;;out;
clutter;;up;
cluttering;;up;
cnks;;off;
coach;;out;
coalesce;;around;
coalesce;;out;
coax;;down;
coax;;out;
cobble;;out;
cobble;;up;
cock;;around;
cock;;off;
cock;;up;
code;;out;
code;;up;
co-finance;;up;
co-funded;;along;
cohere;;around;
coil;;up;
coke;;up;
collaborate;;on;
collaborate;;over;
collapse;;along;
collapse;;down;
collapse;;on;
collapse;;out;
collapse;;upon;
collate;;on;
collate;;up;
collect;;around;
collect;;out;
collect;;up;
collide;;off;
colour;;along;
colour;;around;
colour;;in;
colour;;out;
colour;;up;
comb;;out;
comb;;through;
combine;;up;
come;;across;
come;;along;
come;;around;
come;;aside;
come;;away;
come;;in;
come;;off;
come;;on;
come;;out;
come;;over;
come;;through;
come;;unto;
come;;up;
come;;upon;
comeing;;down;
comforming;;out;
comm;;up;
command;;up;
commandeer;;along;
comment;;around;
comment;;on;
comment;;out;
comment;;upon;
commentate;;on;
comming;;along;
comming;;around;
comming;;out;
comming;;up;
commission;;out;
commission;;through;
commit;;through;
commit;;unto;
commit;;up;
communicate;;over;
communicate;;through;
commute;;out;
compete;;in;
compete;;on;
compete;;over;
competition?trussed;;up;
compile;;out;
compile;;up;
complain;;around;
complete;;along;
complete;;around;
complete;;off;
complete;;out;
complete;;over;
complete;;up;
completion/winding;;up;
compose;;out;
compost;;up;
compound;;up;
comprise;;over;
comprise;;up;
compromise;;on;
compromise;;over;
compute;;up;
con;;out;
concede;;out;
conceive;;along;
conceive;;around;
conceive;;away;
conceive;;off;
concentrate;;around;
concentrate;;on;
concentrate;;out;
concentrate;;upon;
concern;;over;
conclude;;around;
conclude;;upon;
concoct;;down;
concrete;;over;
condemn;;along;
condemn;;out;
condemn;;unto;
condense;;out;
conduct;;away;
conduct;;on;
conduct;;out;
conduct;;over;
conduct;;up;
cone;;off;
cone;;up;
confabulate;;on;
confer;;up;
confer;;upon;
confide;;in;
configure;;up;
confirm;;out;
confirm;;unto;
confirm;;up;
congregate;;around;
congregate;;off;
conjouring;;up;
conjours;;up;
conjure;;down;
conjure;;out;
conjure;;up;
conk;;out;
connect;;off;
connect;;out;
connect;;through;
connect;;up;
consider;;along;
consider;;off;
consider;;out;
consider;;over;
consider;;up;
consider;;upon;
consign;;down;
consist;;in;
consist;;out;
console;;around;
console;;out;
consolidate;;on;
consolidate;;up;
construct;;around;
construct;;down;
construct;;out;
construct;;over;
construct;;up;
consult;;on;
consult;;over;
consult;;up;
consult;;upon;
consume;;around;
consume;;off;
consume;;over;
consume;;up;
consumit;;out;
contact;;out;
contain;;around;
contain;;over;
contain;;up;
content;;out;
continue;;along;
continue;;around;
continue;;down;
continue;;off;
continue;;on;
continue;;out;
continue;;over;
continue;;through;
continue;;up;
contract;;away;
contract;;down;
contract;;in;
contract;;out;
contract;;through;
contribute;;along;
contribute;;around;
contribute;;out;
contribute;;up;
control;;on;
control;;over;
control;;up;
control;;up;
converge;;on;
converge;;upon;
convert;;off;
convert;;out;
convert;;over;
convert;;up;
convey;;down;
convince;;away;
coo;;over;
cook;;in;
cook;;off;
cook;;on;
cook;;out;
