main verb - infinito senza to;separabile- se segnato vuol dire si;prep_1;prep_2
develop;x;out;
dig;x;along;
dig;x;in;
dig;x;out;
dig;x;over;
dig;x;up;
dilute;x;down;
direct;x;down;
direct;x;in;
direct;x;off;
disappoint;x;up;
discover;x;out;
discuss;x;out;
dish;x;out;
dish;x;up;
dismiss;x;out;
display;x;in;
distil;x;down;
distinguish;x;away;
distort;x;out;
distract;x;away;
divert;x;away;
divide;x;down;
divide;x;up;
do;x;away;
do;x;down;
do;x;in;
do;x;off;
do;x;on;
do;x;open;
do;x;out;
do;x;over;
do;x;through;
do;x;up;
dole;x;out;
done;x;in;
done;x;off;
dose;x;up;
double;x;up;
download;x;off;
drag;x;across;
drag;x;along;
drag;x;around;
drag;x;away;
drag;x;down;
drag;x;off;
drag;x;out;
drag;x;over;
drag;x;through;
drag;x;up;
drain;x;away;
drain;x;off;
draw;x;away;
draw;x;down;
draw;x;in;
draw;x;off;
draw;x;out;
draw;x;over;
draw;x;up;
dream;x;up;
dredge;x;out;
dress;x;up;
drink;x;down;
drink;x;off;
drink;x;out;
drink;x;up;
drive;x;along;
drive;x;around;
drive;x;away;
drive;x;off;
drive;x;on;
drive;x;out;
drive;x;over;
drive;x;through;
drive;x;unto;
drive;x;up;
drop;x;around;
drop;x;down;
drop;x;in;
drop;x;off;
drop;x;on;
drop;x;out;
drop;x;up;
drown;x;in;
drown;x;out;
drug;x;up;
drven;x;away;
dry;x;down;
dry;x;off;
dry;x;out;
dry;x;up;
dub;x;down;
duel;x;out;
dump;x;in;
dump;x;out;
dust;x;down;
dust;x;off;
ease;x;off;
ease;x;out;
eat;x;off;
eat;x;out;
eat;x;up;
eat;x;whole;
edge;x;away;
edit;x;down;
edit;x;in;
edit;x;out;
elevate;x;out;
elevate;x;up;
email;x;on;
email;x;over;
email;x;up;
emails;x;out;
embed;x;up;
empty;x;down;
empty;x;out;
encounter;x;off;
encourage;x;in;
enjoy;x;in;
enjoy;x;on;
enjoy;x;up;
enlarge;x;up;
entangle;x;in;
entice;x;in;
entice;x;out;
erode;x;down;
escort;x;down;
escort;x;off;
escort;x;out;
escort;x;over;
escort;x;up;
even;x;out;
even;x;up;
exalt;x;out;
excommunicate;x;out;
exhaust;x;out;
expel;x;out;
explain;x;away;
export;x;out;
express;x;in;
eye;x;up;
face;x;up;
fade;x;up;
fag;x;out;
fail;x;out;
fake;x;up;
fall;x;down;
fall;x;out;
fan;x;out;
farm;x;out;
fashion;x;out;
fatten;x;up;
feed;x;in;
feed;x;out;
feed;x;through;
feed;x;up;
feel;x;out;
fence;x;in;
fend;x;off;
